data,descricao,valor,tags,subcategoria,categoria
,Amazon Marketplace - Parcela 1/2,69.93,categorizar,DESCONHECIDO,Outros
,Amazon Marketplace - Parcela 2/2,69.92,custos fixos,SUPLEMENTAÇÃO,Alimentação
,Amazon Marketplace - Parcela 4/5,54.3,custos fixos,SUPLEMENTAÇÃO,Alimentação
,Amazon Marketplace - Parcela 5/5,54.3,categorizar,DESCONHECIDO,Outros
,Amazon Marketplace B,78.95,custos fixos,HABITAÇÃO,Moradia
,Amazon Marketplace B - Parcela 3/10,78.95,custos fixos,ALIMENTAÇÃO,Alimentação
,Amazon Marketplace B - Parcela 4/10,78.95,categorizar,DESCONHECIDO,Outros
,Amazon Marketplace Br  Sao Paulo     Bra,78.95,custos fixos,HABITAÇÃO,Moradia
,Amazon Marketplace Br Sao Paulo Bra,78.95,custos fixos,HABITAÇÃO,Moradia
,Amazon Marketplace Br Sao Paulo Bra - Parcela 5/10,78.95,custos fixos,SUPLEMENTAÇÃO,Alimentação
,Amazon Marketplace1,59.9,prazeres,ANIMAIS,Lazer
,Amazon Marketplace1,60.9,custos fixos,SUPLEMENTAÇÃO,Alimentação
,Amazon Marketplace2,39.8,custos fixos,SUPLEMENTAÇÃO,Alimentação
,Amazon Marketplace2,89.9,custos fixos,SUPLEMENTAÇÃO,Alimentação
,Amazon Prime Aluguel,6.9,categorizar,DESCONHECIDO,Outros
,Amazonprimebr,19.9,prazeres,LAZER,Lazer
,Amazonprimebr1,19.9,prazeres,LAZER,Lazer
,Amazonprimebr2,19.9,prazeres,LAZER,Lazer
,Amazonprimebr3,19.9,prazeres,LAZER,Lazer
,Andersontiago,125.0,categorizar,DESCONHECIDO,Outros
,Andersontiago,170.0,prazeres,DESCONHECIDO,Lazer
,Angelicafrancisca,20.0,categorizar,DESCONHECIDO,Outros
,Antonio Carlos De Oli,24.5,categorizar,DESCONHECIDO,Outros
,Antonio Carlos De Oli,19.9,categorizar,DESCONHECIDO,Outros
,Antonio Carlos De Oli,29.9,categorizar,DESCONHECIDO,Outros
,Appai,310.0,custos fixos,SAUDE: ASSINATURA,Saúde
,Appai,327.9,custos fixos,SAUDE: ASSINATURA,Saúde
,Apple.Com/Bill,35.0,custos fixos,FERRAMENTAS,Moradia
,Apple.Com/Bill,29.9,categorizar,ELETRÔNICOS,Outros
,Apple.Com/Bill,14.9,custos fixos,FERRAMENTAS,Moradia
,Apple.Com/Bill1,16.9,custos fixos,FERRAMENTAS,Moradia
,Apple.Com/Bill2,35.0,custos fixos,FERRAMENTAS,Moradia
,Apple.Com/Bill3,14.9,custos fixos,FERRAMENTAS,Moradia
,Apple.com/bill,35.0,conforto,ELETRÔNICOS,Moradia
,Apple.com/bill,49.9,conforto,ELETRÔNICOS,Moradia
,Apple.com/bill,1.9,conforto,FERRAMENTAS,Moradia
,Araken Centro,49.07,prazeres,ANIMAIS,Lazer
,Araken Centro,59.22,prazeres,ANIMAIS,Lazer
,Araken Centro,104.93,prazeres,ANIMAIS,Lazer
,Arakenpetcenter,27.58,prazeres,ANIMAIS,Lazer
,Arcafe,28.9,prazeres,RESTAURANTE: CAFETERIA,Lazer
,Arcafe,23.49,prazeres,RESTAURANTE: CAFETERIA,Lazer
,Arcafe Cafeteria e Cow1,34.89,conforto,RESTAURANTE: CAFETERIA,Lazer
,Arcafe Cafeteria e Cow2,22.99,conforto,RESTAURANTE: CAFETERIA,Lazer
,Arcopleno,9.9,categorizar,DESCONHECIDO,Outros
,Art Cafe Lapa,20.0,conforto,RESTAURANTE: CAFETERIA,Lazer
,Art Do Cafe,48.0,prazeres,RESTAURANTE: CAFETERIA,Lazer
,Assb Comercio Vareji,30.97,custos fixos,HABITAÇÃO,Moradia
,Assb Comercio Varejist,45.36,custos fixos,ALIMENTAÇÃO,Alimentação
,Assb Comercio Varejist,74.99,custos fixos,ALIMENTAÇÃO,Alimentação
,Assb Comercio Varejist,19.96,custos fixos,ALIMENTAÇÃO,Alimentação
,Assb Comercio Varejist,35.98,categorizar,DESCONHECIDO,Outros
,Atrativa,39.0,conforto,ROUPAS,Moradia
,Atrativa          01/06,21.35,conforto,ROUPAS,Moradia
,Atrativa          02/06,21.35,conforto,ROUPAS,Moradia
,Atrativa          03/06,21.35,conforto,ROUPAS,Moradia
,Atrativa          04/06,21.35,conforto,ROUPAS,Moradia
,Atrativa          05/06,21.35,conforto,ROUPAS,Moradia
,Atrativa          06/06,21.35,conforto,ROUPAS,Moradia
,Auto Posto Margui 2,106.75,custos fixos,TRANSPORTE: COMBUSTÍVEL,Transporte
,Auto Posto Nossa Sen,20.0,custos fixos,TRANSPORTE: COMBUSTÍVEL,Transporte
,Autoviacao1001*aut01/03,178.26,conhecimento,EDUCAÇÃO,Educação
,Autoviacao1001*aut02/03,178.26,conhecimento,EDUCAÇÃO,Educação
,Autoviacao1001*aut03/03,178.26,conhecimento,EDUCAÇÃO,Educação
,Autoviacao1001*autovia,-0.02,,,Outros
,BERLINF FAMILIA PALUDO,266.2,prazeres,RESTAURANTE,Lazer
,Bacio Di Latte-lj002,45.9,prazeres,RESTAURANTE: LANCHE,Lazer
,Bacio Di Latte-lj002,41.9,prazeres,RESTAURANTE: LANCHE,Lazer
,Bacio Di Latte-lj0024,43.9,prazeres,RESTAURANTE: LANCHE,Lazer
,Banca Cultura,60.0,prazeres,VIAGEM,Lazer
,Bar Dos Ouriveis,27.9,prazeres,RESTAURANTE,Lazer
,Bar E Restaurante Casa,64.02,prazeres,RESTAURANTE,Lazer
,Bar E Restaurante Casa,23.26,prazeres,RESTAURANTE,Lazer
,Bar E Restaurante Casa,44.9,prazeres,RESTAURANTE: LANCHE,Lazer
,Barcas S.A,7.7,prazeres,TRANSPORTE,Transporte
,Bay Market,15.0,prazeres,LAZER,Lazer
,Bazar Quase Dois,26.97,custos fixos,FERRAMENTAS,Moradia
,Bazar Quase Dois,18.99,conforto,HABITAÇÃO,Moradia
,Bazar Quase Dois,21.99,custos fixos,HABITAÇÃO,Moradia
,Bazar Quase Dois,16.98,custos fixos,FERRAMENTAS,Moradia
,Bazar Ribeiro Sao Go,54.3,custos fixos,FERRAMENTAS,Moradia
,Beach Farma de Marica,23.85,custos fixos,SAUDE: FARMÁCIA,Saúde
,Bebidasmaresias,58.0,prazeres,DOAÇÃO,Lazer
,Beira Mar Estacionam,25.0,prazeres,TRANSPORTE,Transporte
,Bel Cosmeticos,23.9,conforto,ESTÉTICA,Moradia
,Bel Cosmeticos (02/06),23.35,conforto,ESTÉTICA,Moradia
,Bel Cosmeticos (03/06),23.35,conforto,ESTÉTICA,Moradia
,Bel Cosmeticos (04/06),23.35,conforto,ESTÉTICA,Moradia
,Bel Cosmeticos (05/06),23.35,conforto,ESTÉTICA,Moradia
,Bel Cosmeticos (06/06),23.35,conforto,ESTÉTICA,Moradia
,Bel Cosmeticos 01/06,23.35,conforto,ESTÉTICA,Moradia
,Bela Ferraz Marica,55.99,conforto,ESTÉTICA,Moradia
,Bela Ferraz Marica,33.98,conforto,ESTÉTICA,Moradia
,Bela Ferraz Marica,37.98,conforto,ESTÉTICA,Moradia
,Bela Ferraz Marica - Parcela 1/2,61.71,conforto,ROUPAS,Moradia
,Bela Ferraz Marica - Parcela 2/2,61.71,conforto,ESTÉTICA,Moradia
,Beng,61.94,custos fixos,HABITAÇÃO,Moradia
,Betterpb - Parcela 1/3,41.45,custos fixos,ALIMENTAÇÃO,Alimentação
,Betterpb - Parcela 1/4,90.67,custos fixos,SUPLEMENTAÇÃO,Alimentação
,Betterpb - Parcela 2/3,41.44,custos fixos,ALIMENTAÇÃO,Alimentação
,Betterpb - Parcela 2/4,90.67,custos fixos,SUPLEMENTAÇÃO,Alimentação
,Betterpb - Parcela 3/3,41.44,custos fixos,ALIMENTAÇÃO,Alimentação
,Betterpb - Parcela 3/4,90.67,prazeres,SUPLEMENTAÇÃO,Lazer
,Betterpb - Parcela 4/4,90.67,prazeres,SUPLEMENTAÇÃO,Lazer
,Bh Park,45.0,prazeres,LAZER,Lazer
,Bikemarica,25.0,prazeres,LAZER,Lazer
,Bio Magistral     01/06,143.65,prazeres,SUPLEMENTAÇÃO,Lazer
,Bio Magistral     02/06,143.65,prazeres,SUPLEMENTAÇÃO,Lazer
,Bio Magistral     03/06,143.65,prazeres,SUPLEMENTAÇÃO,Lazer
,Bio Magistral     04/06,143.65,prazeres,SUPLEMENTAÇÃO,Lazer
,Bio Magistral     05/06,143.65,prazeres,SUPLEMENTAÇÃO,Lazer
,Bio Magistral     06/06,143.65,prazeres,SUPLEMENTAÇÃO,Lazer
,Bio Magistral - Parcela 1/2,98.2,prazeres,SAUDE: MANIPULAÇÃO,Saúde
,Bio Magistral - Parcela 2/2,98.2,prazeres,SAUDE: MANIPULAÇÃO,Saúde
,Bio Magistral - Parcela 2/3,112.66,prazeres,SAUDE: MANIPULAÇÃO,Saúde
,Bio Magistral - Parcela 3/3,112.66,prazeres,SAUDE: MANIPULAÇÃO,Saúde
,Bitwarden,64.3,conforto,FERRAMENTAS,Moradia
,Blackmachine,5.0,prazeres,ELETRÔNICOS,Lazer
,Blackmachine,10.0,prazeres,ELETRÔNICOS,Lazer
,Bobs,16.0,prazeres,RESTAURANTE: LANCHE,Lazer
,Bobs Nit Plaza,16.9,prazeres,RESTAURANTE: LANCHE,Lazer
,Bobs Nit Plaza,9.8,prazeres,RESTAURANTE: LANCHE,Lazer
,Bobs Nit Plaza,19.8,prazeres,RESTAURANTE: LANCHE,Lazer
,Br *br1foodtosav,82.09,prazeres,ALIMENTAÇÃO,Alimentação
,Br *foodtosav,79.96,prazeres,RESTAURANTE: LANCHE,Lazer
,Brandt E Moura Padar,8.92,prazeres,RESTAURANTE: LANCHE,Lazer
,Brandt E Moura Padaria,8.0,prazeres,RESTAURANTE: LANCHE,Lazer
,Brandt E Moura Padaria,6.0,custos fixos,ALIMENTAÇÃO,Alimentação
,Brandt E Moura Padaria,10.5,custos fixos,ALIMENTAÇÃO,Alimentação
,Brandt E Moura Padaria,15.23,custos fixos,ALIMENTAÇÃO,Alimentação
,Brandt E Moura Padaria,7.13,prazeres,RESTAURANTE: LANCHE,Lazer
,Brandt E Moura Padaria,1.15,conforto,RESTAURANTE: DIA A DIA,Lazer
,Brodao Brasil,6.0,prazeres,RESTAURANTE: LANCHE,Lazer
,Brodao Brasil,15.0,prazeres,RESTAURANTE: LANCHE,Lazer
,CC PÃO DE AÇÚCAR,238.66,categorizar,CARTÃO DE CREDITO,Outros
,CC PÃO DE AÇÚCAR,18.15,categorizar,CARTÃO DE CREDITO,Outros
,CC Pão de Açúcar,238.66,categorizar,CARTÃO DE CREDITO,Outros
,Cabelo,130.0,conforto,ESTÉTICA,Moradia
,Cafe Ao Cubo 1,83.05,conforto,RESTAURANTE: CAFETERIA,Lazer
,Cafe Com Pao,10.5,prazeres,RESTAURANTE: LANCHE,Lazer
,Camelo Distribuidora D,51.95,custos fixos,ALIMENTAÇÃO,Alimentação
,Camicado - Parcela 1/2,84.99,custos fixos,HABITAÇÃO,Moradia
,Camicado - Parcela 2/2,84.98,custos fixos,HABITAÇÃO,Moradia
,Camila Abreu De Souz,283.8,prazeres,RESTAURANTE,Lazer
,Camilapereirada,41.0,categorizar,DESCONHECIDO,Outros
,Cantinho Do Acai Ja,11.0,prazeres,RESTAURANTE: LANCHE,Lazer
,Cappta *brodao,13.0,prazeres,RESTAURANTE: LANCHE,Lazer
,Cappta *celia Goulart,36.0,categorizar,DESCONHECIDO,Outros
,Cappta *central Lanc,10.0,prazeres,RESTAURANTE: LANCHE,Lazer
,Cappta *central Lanche,19.0,prazeres,RESTAURANTE: LANCHE,Lazer
,Cappta *central Lanche,18.5,conforto,RESTAURANTE: LANCHE,Lazer
,Cappta *central Lanche,9.0,prazeres,RESTAURANTE: LANCHE,Lazer
,Carel Produtos de Bel,49.3,conforto,ESTÉTICA,Moradia
,Carlosmiguel,34.93,categorizar,DESCONHECIDO,Outros
,Carrefour Paulista 1,19.64,conhecimento,EDUCAÇÃO,Educação
,Cartão Zilá,650.0,categorizar,DESCONHECIDO,Outros
,Cartão Zilá,973.98,categorizar,DESCONHECIDO,Outros
,Casa Do Biscoito,17.99,custos fixos,ALIMENTAÇÃO,Alimentação
,Casa Do Eucalipto,84.0,metas,OBRAS,Outros
,Casa Do Eucalipto - Parcela 3/6,84.0,metas,OBRAS,Outros
,Casa Do Eucalipto - Parcela 4/6,84.0,metas,OBRAS,Outros
,Casa Do Eucalipto - Parcela 5/6,84.0,metas,OBRAS,Outros
,Casa Limpeza,33.98,custos fixos,HABITAÇÃO,Moradia
,Casa Limpeza,11.98,custos fixos,HABITAÇÃO,Moradia
,Casa Limpeza,5.99,custos fixos,HABITAÇÃO,Moradia
,Casa Limpeza,59.99,custos fixos,HABITAÇÃO,Moradia
,Casa e Video,9.98,custos fixos,FERRAMENTAS,Moradia
,Casas Bahia - Parcela 1/2,128.69,custos fixos,HABITAÇÃO,Moradia
,Casas Pernambucanas,111.96,prazeres,PRESENTES,Lazer
,Casas Pernambucanas - Parcela 1/2,37.99,custos fixos,FERRAMENTAS,Moradia
,Casas Pernambucanas - Parcela 1/3,30.98,custos fixos,FERRAMENTAS,Moradia
,Casas Pernambucanas - Parcela 2/2,37.99,custos fixos,FERRAMENTAS,Moradia
,Casas Pernambucanas - Parcela 2/2,89.98,conforto,ROUPAS,Moradia
,Casas Pernambucanas - Parcela 2/3,30.98,conforto,ROUPAS,Moradia
,Casas Pernambucanas - Parcela 2/3,39.99,conforto,ROUPAS,Moradia
,Casas Pernambucanas - Parcela 3/3,39.99,conforto,ROUPAS,Moradia
,Casas Pernambucanas - Parcela 3/3,30.98,conforto,ROUPAS,Moradia
,Castração do Paçoca,1200.0,prazeres,ANIMAIS,Lazer
,Castração dos gatos,160.0,prazeres,ANIMAIS,Lazer
,Catiapradopeixoto,276.1,prazeres,RESTAURANTE,Lazer
,Cea Nit 560 Ecpc - Parcela 1/3,89.99,conforto,ROUPAS,Moradia
,Cea Nit 560 Ecpc - Parcela 2/3,65.32,conforto,ROUPAS,Moradia
,Cea Nit 560 Ecpc - Parcela 2/3,89.99,conforto,ROUPAS,Moradia
,Cea Nit 560 Ecpc - Parcela 3/3,89.99,conforto,ROUPAS,Moradia
,Cea Nit 560 Ecpc - Parcela 3/3,65.32,conforto,ROUPAS,Moradia
,Celular,120.0,custos fixos,TELEFONE,Moradia
,Cencosud Brasil Come,64.1,custos fixos,ALIMENTAÇÃO,Alimentação
,Cencosud Brasil Come,163.13,custos fixos,ALIMENTAÇÃO,Alimentação
,Cencosud Brasil Come,121.24,custos fixos,ALIMENTAÇÃO,Alimentação
,Cencosud Brasil Come,58.15,custos fixos,ALIMENTAÇÃO,Alimentação
,Cencosud Brasil Comerc,117.51,custos fixos,ALIMENTAÇÃO,Alimentação
,Cencosud Brasil Comerc,86.21,custos fixos,ALIMENTAÇÃO,Alimentação
,Cencosud Brasil Comerc,16.63,custos fixos,ALIMENTAÇÃO,Alimentação
,Central Lanches,19.0,prazeres,RESTAURANTE: LANCHE,Lazer
,Centrocell Informati - Parcela 2/3,73.3,categorizar,DESCONHECIDO,Outros
,Centrocell Informati - Parcela 3/3,73.3,categorizar,DESCONHECIDO,Outros
,Charque 500 Industri,54.36,prazeres,LAZER,Lazer
,Charque 500 Industria,93.8,prazeres,ALIMENTAÇÃO,Alimentação
,Charque 500 Industria,68.41,prazeres,ALIMENTAÇÃO,Alimentação
,Cheff Gourmet,40.62,conforto,RESTAURANTE: DIA A DIA,Lazer
,Cheff Gourmet,33.7,conforto,RESTAURANTE: DIA A DIA,Lazer
,Cheff Gourmet,40.11,conforto,RESTAURANTE: DIA A DIA,Lazer
,Cheff Gourmet,3.0,conforto,RESTAURANTE: DIA A DIA,Lazer
,Cheff Gourmet,78.2,conforto,RESTAURANTE: DIA A DIA,Lazer
,Cheff Gourmet,84.6,conforto,RESTAURANTE: DIA A DIA,Lazer
,Cheirin Bao,44.58,conforto,DESCONHECIDO,Moradia
,Chocomarica,73.5,prazeres,ALIMENTAÇÃO,Alimentação
,Chocomarica,57.37,prazeres,ALIMENTAÇÃO,Alimentação
,Chocomarica,76.58,prazeres,ALIMENTAÇÃO,Alimentação
,Chocomarica,51.8,prazeres,ALIMENTAÇÃO,Alimentação
,Churrascodosamuca,56.0,prazeres,RESTAURANTE,Lazer
,Churrascodosamuca,63.0,prazeres,RESTAURANTE,Lazer
,Citycol,22.99,conforto,ROUPAS,Moradia
,Claudioluizda,35.0,prazeres,RESTAURANTE,Lazer
,Claudioluizda,25.0,categorizar,DESCONHECIDO,Outros
,Clinica Vet Popula01/04,87.75,prazeres,ANIMAIS,Lazer
,Clinica Vet Popula03/04,87.75,prazeres,ANIMAIS,Lazer
,Clinica Vet Popula04/04,87.75,prazeres,ANIMAIS,Lazer
,Clinica Vet Popular(02/04),87.75,prazeres,ANIMAIS,Lazer
,Coffee Break Gourmet,13.0,conforto,RESTAURANTE: CAFETERIA,Lazer
,Comercial Oceanica,44.0,custos fixos,FERRAMENTAS,Moradia
,Comercio De Calcados,109.9,conforto,ROUPAS,Moradia
,Comercio De Produtos,85.18,conforto,ALIMENTAÇÃO,Alimentação
,Comercio De Produtos,96.18,categorizar,DESCONHECIDO,Outros
,Comercio De Produtos,76.23,conforto,ALIMENTAÇÃO,Alimentação
,Comercio de Produtos,38.6,custos fixos,ALIMENTAÇÃO,Alimentação
,Comercio de Produtos,54.08,categorizar,DESCONHECIDO,Outros
,Comercio de Produtos,50.0,categorizar,DESCONHECIDO,Outros
,Compras Débora,300.0,prazeres,ELETRÔNICOS,Lazer
,Compras Débora,500.0,prazeres,ELETRÔNICOS,Lazer
,Compras Débora,577.0,conforto,ESTÉTICA,Moradia
,Compras Mercado Livre,372.0,custos fixos,DESPESAS PESSOAIS,Alimentação
,Compras Thiago,600.0,custos fixos,HABITAÇÃO,Moradia
,Consorcio Estacionam,30.0,prazeres,TRANSPORTE,Transporte
,Consorcio Estacionamen,11.0,conforto,TRANSPORTE,Transporte
,Consorcio Estacionament,11.0,prazeres,TRANSPORTE,Transporte
,Conta Vivo,57.34,custos fixos,TELEFONE,Moradia
,Conta Vivo,57.44,prazeres,DOAÇÃO,Lazer
,Conta Vivo,57.27,custos fixos,TELEFONE,Moradia
,Conta Vivo,57.31,custos fixos,TELEFONE,Moradia
,Conta Vivo,57.23,custos fixos,TELEFONE,Moradia
,Conta61d9d2481003494,52.8,custos fixos,FERRAMENTAS,Moradia
,Contabo Com,35.26,conforto,FERRAMENTAS,Moradia
,Copel,23.85,custos fixos,ALIMENTAÇÃO,Alimentação
,Copel 455,91.3,custos fixos,ALIMENTAÇÃO,Alimentação
,Coxinha No Copo,15.0,prazeres,RESTAURANTE,Lazer
,Credpay*38 - Amigao,7.99,custos fixos,HABITAÇÃO,Moradia
,Credpay*38 - Amigao de,67.97,categorizar,DESCONHECIDO,Outros
,Ctyongpastelaria,38.0,prazeres,RESTAURANTE: LANCHE,Lazer
,Ctyongpastelaria,8.5,prazeres,RESTAURANTE: LANCHE,Lazer
,Cultura Japonesa,14.0,prazeres,VIAGEM,Lazer
,Cumani Marica,33.94,conforto,RESTAURANTE: CAFETERIA,Lazer
,Cílios,70.0,conforto,ESTÉTICA,Moradia
,Cílios,120.0,conforto,ESTÉTICA,Moradia
,Cílios,260.0,conforto,ESTÉTICA,Moradia
,D Goulart Cafeteria,41.0,conforto,RESTAURANTE: CAFETERIA,Lazer
,DAS/MEI,81.97,custos fixos,TAXAS,Alimentação
,DAS/MEI,230.0,custos fixos,TAXAS,Alimentação
,DAS/MEI Atrasadas M,170.0,custos fixos,TAXAS,Alimentação
,DAS/MEI Atrasadas N,354.72,custos fixos,TAXAS,Alimentação
,DELL,493.25,conforto,ELETRÔNICOS,Moradia
,DELL 09/12,493.25,prazeres,LAZER,Lazer
,DELL 10/12,493.25,prazeres,LAZER,Lazer
,DELL 11/12,493.25,prazeres,LAZER,Lazer
,DORIS ALIMENTOS,22.88,custos fixos,ALIMENTAÇÃO,Alimentação
,DROGARIA NOSSA SENHORA1,26.99,custos fixos,SAUDE: FARMÁCIA,Saúde
,DROGARIA NOSSA SENHORA2,20.48,custos fixos,SAUDE: FARMÁCIA,Saúde
,DROGARIA NOSSA SENHORA3,20.99,custos fixos,SAUDE: FARMÁCIA,Saúde
,DROGRARIA TAMOIO1,61.77,custos fixos,SAUDE: FARMÁCIA,Saúde
,De Coracao E Prese01/03,53.97,prazeres,PRESENTES,Lazer
,De Coracao E Prese02/03,53.97,prazeres,PRESENTES,Lazer
,De Coracao E Prese03/03,53.97,prazeres,PRESENTES,Lazer
,De Coracao E Present,17.21,prazeres,PRESENTES,Lazer
,Decathlon,29.98,conforto,ROUPAS,Moradia
,Decathlon - Parcela 1/2,72.49,conforto,ROUPAS,Moradia
,Decathlon - Parcela 2/2,72.49,conforto,ROUPAS,Moradia
,Delicias Da Val,73.7,prazeres,RESTAURANTE,Lazer
,Delicias Da Val,75.9,prazeres,RESTAURANTE,Lazer
,Delivery Alimentos Moc,42.07,prazeres,VIAGEM,Lazer
,Distribuidora De Rac,51.8,prazeres,ANIMAIS,Lazer
,Distribuidora De Rac,211.72,prazeres,ANIMAIS,Lazer
,Distribuidora De Rac,75.36,prazeres,ANIMAIS,Lazer
,Distribuidora De Rac - Parcela 1/6,75.37,prazeres,ANIMAIS,Lazer
,Distribuidora De Rac - Parcela 2/6,75.36,prazeres,ANIMAIS,Lazer
,Distribuidora De Racoe Marica Bra,75.36,prazeres,ANIMAIS,Lazer
,Distribuidora de Racoe - Parcela 2/6,40.09,prazeres,ANIMAIS,Lazer
,Distribuidora de Racoe - Parcela 3/6,40.09,prazeres,ANIMAIS,Lazer
,Distribuidora de Racoe - Parcela 5/6,40.09,prazeres,ANIMAIS,Lazer
,Distribuidora de Racoe - Parcela 6/6,40.09,prazeres,ANIMAIS,Lazer
,Divino Pao,50.0,prazeres,RESTAURANTE: LANCHE,Lazer
,Divino Pao,13.5,conforto,RESTAURANTE: DIA A DIA,Lazer
,Divino Pao,52.51,prazeres,RESTAURANTE: LANCHE,Lazer
,Divino Pao,36.91,conforto,RESTAURANTE,Lazer
,Divino Pao,15.4,conforto,RESTAURANTE: DIA A DIA,Lazer
,Divino Pao,18.56,conforto,RESTAURANTE: DIA A DIA,Lazer
,Divino Pao,22.0,prazeres,RESTAURANTE: DIA A DIA,Lazer
,Divino Pao,32.98,conforto,RESTAURANTE: DIA A DIA,Lazer
,Dl *google Steel And F,23.99,prazeres,ELETRÔNICOS,Lazer
