DATA;DESCRIÇÃO BRUTA;VALOR;CATEGORIA;SubCategoria;PAGAMENTO;MÊS; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
#REF!;Uber *uber *trip;"R$ 24,95";CONFORTO;TRANSPORTE: UBER;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Totalpass;"R$ 119,90";CUSTOS FIXOS;SAUDE: ASSINATURA;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Totalpass;"R$ 119,90";CUSTOS FIXOS;SAUDE: ASSINATURA;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Termius Corporation;"R$ 85,09";CONFORTO;FERRAMENTAS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Supermercado Padrao;"R$ 26,77";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Suenlendasilvafau;"R$ 33,00";CATEGORIZAR;DESCONHECIDO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;South - Parcela 2/4;"R$ 127,49";CONFORTO;ROUPAS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;South - Parcela 2/3;"R$ 56,66";CONFORTO;ROUPAS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Restaurante Do Alexa;"R$ 145,75";PRAZERES;RESTAURANTE;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Responde Ai - Parcela 3/12;"R$ 16,90";CONHECIMENTO;EDUCAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Rede Varejao;"R$ 160,98";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Pizzaria Do Oliver S;"R$ 165,77";PRAZERES;RESTAURANTE;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Pilares De Marica Su;"R$ 20,08";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Pg *ton Doce Loucura;"R$ 99,50";PRAZERES;RESTAURANTE;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Petala - Parcela 10/12;"R$ 251,80";METAS;OBRAS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Pes E Patas;"R$ 37,00";PRAZERES;ANIMAIS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Pes E Patas;"R$ 83,95";PRAZERES;ANIMAIS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Peixaria Menor Preco;"R$ 23,40";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Peixaria Menor Preco;"R$ 28,89";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Pag*tiexamesprodutos - Parcela 6/10;"R$ 10,69";CONHECIMENTO;EDUCAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Pag*produtosuol;"R$ 29,90";METAS;LOJA;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Pag*laboratoriobless - Parcela 2/3;"R$ 181,66";PRAZERES;SAUDE: EXAMES;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Odara Roupas Ltda Ep - Parcela 2/6;"R$ 78,30";CONFORTO;ROUPAS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Netflix.com;"R$ 44,90";PRAZERES;LAZER;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Mja;"R$ 47,84";CATEGORIZAR;DESCONHECIDO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Mercadolivre*lagosdi - Parcela 12/12;"R$ 16,18";CATEGORIZAR;DESCONHECIDO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Mercadolivre*9produt - Parcela 5/10;"R$ 30,18";CATEGORIZAR;DESCONHECIDO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Mercadolivre*5produt - Parcela 4/10;"R$ 38,26";CATEGORIZAR;DESCONHECIDO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Mercadolivre*5137185 - Parcela 3/3;"R$ 27,00";CUSTOS FIXOS;HABITAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Mercadolivre*2produt - Parcela 10/10;"R$ 37,37";CATEGORIZAR;DESCONHECIDO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Mary E Mary Jolumar;"R$ 11,11";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Mary E Mary Jolumar;"R$ 31,95";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Marcuscostaconde;"R$ 20,48";CATEGORIZAR;DESCONHECIDO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Lojas Renner S.a. - Parcela 2/3;"R$ 69,90";CONFORTO;ROUPAS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Lj38 Marica - Parcela 5/5;"R$ 48,95";CATEGORIZAR;DESCONHECIDO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Levi Costa Dos Santo;"R$ 41,90";PRAZERES;ANIMAIS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Irmaosmataruna;"R$ 81,67";CUSTOS FIXOS;TRANSPORTE: COMBUSTÍVEL;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Irmaos Mataruna;"R$ 85,55";CUSTOS FIXOS;TRANSPORTE: COMBUSTÍVEL;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Iof Internacional;"R$ 3,73";CUSTOS FIXOS;TAXAS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Ifd*ifood.com Agenci;"R$ 12,90";PRAZERES;RESTAURANTE: LANCHE;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Ifd*cnz Restaurante;"R$ 158,97";PRAZERES;RESTAURANTE: LANCHE;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Hebertcarlos;"R$ 45,00";PRAZERES;RESTAURANTE: LANCHE;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;G.m.a.p Supermercado;"R$ 73,38";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Fisia Nike Ecommer - Parcela 2/9;"R$ 99,99";CONFORTO;ROUPAS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Esquina Da Praia Bar;"R$ 48,16";PRAZERES;RESTAURANTE;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Energia;"R$ 200,00";CUSTOS FIXOS;HABITAÇÃO;PIX;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Drogarias Pacheco Sa;"R$ 54,98";CUSTOS FIXOS;SAUDE: FARMÁCIA;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Drogaria Tamoio - Parcela 3/5;"R$ 73,49";PRAZERES;SAUDE: FARMÁCIA;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Drogaria Nossa Senho;"R$ 150,92";CUSTOS FIXOS;SAUDE: FARMÁCIA;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Drogaria Nossa Senho;"R$ 20,99";CUSTOS FIXOS;SAUDE: FARMÁCIA;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Drogaria Nossa Senho;"R$ 4,49";CUSTOS FIXOS;SAUDE: FARMÁCIA;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Charque 500 Industri;"R$ 54,36";PRAZERES;LAZER;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Cencosud Brasil Come;"R$ 64,10";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Cencosud Brasil Come;"R$ 58,15";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Cencosud Brasil Come;"R$ 121,24";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Cencosud Brasil Come;"R$ 163,13";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Casas Pernambucanas - Parcela 2/2;"R$ 89,98";CONFORTO;ROUPAS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Casas Pernambucanas - Parcela 2/3;"R$ 39,99";CONFORTO;ROUPAS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Casa Limpeza;"R$ 5,99";CUSTOS FIXOS;HABITAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Casa Limpeza;"R$ 33,98";CUSTOS FIXOS;HABITAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Casa Do Eucalipto - Parcela 3/6;"R$ 84,00";METAS;OBRAS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Bio Magistral - Parcela 2/3;"R$ 112,66";PRAZERES;SAUDE: MANIPULAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Amazon Marketplace B - Parcela 3/10;"R$ 78,95";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Amazon Marketplace - Parcela 4/5;"R$ 54,30";CUSTOS FIXOS;SUPLEMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Amazon Br4;"R$ 24,54";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Amazon Br3;"R$ 31,17";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Amazon Br2;"R$ 31,44";CONHECIMENTO;EDUCAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Amazon Br1;"R$ 79,99";CUSTOS FIXOS;SUPLEMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Aleixo Bar Restauran3;"R$ 6,72";PRAZERES;RESTAURANTE;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Aleixo Bar Restauran2;"R$ 143,55";PRAZERES;RESTAURANTE;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Aleixo Bar Restauran1;"R$ 293,15";PRAZERES;RESTAURANTE;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;1000 Opcoes - Parcela 3/3;"R$ 33,64";CUSTOS FIXOS;HABITAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Uber *Uber *Trip;"R$ 5,25";CONFORTO;TRANSPORTE: UBER;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Uber *Uber *Trip;"R$ 5,40";CONFORTO;TRANSPORTE: UBER;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Uber *Uber *Trip;"R$ 5,95";CONFORTO;TRANSPORTE: UBER;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Uber *Uber *Trip;"R$ 6,04";CONFORTO;TRANSPORTE: UBER;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Uber *Uber *Trip;"R$ 7,50";CONFORTO;TRANSPORTE: UBER;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Uber *Uber *Trip;"R$ 7,93";CONFORTO;TRANSPORTE: UBER;CARTÃO DE CREDITO;SETEMBRO;;AVULSO;;;;;;;;;;;;;;;;
#REF!;Uber *Uber *Trip;"R$ 10,88";CONFORTO;TRANSPORTE: UBER;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Uber *Uber *Trip;"R$ 10,91";CONFORTO;TRANSPORTE: UBER;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Uber *Uber *Trip;"R$ 23,97";CONFORTO;TRANSPORTE: UBER;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Uber *Uber *Trip;"R$ 24,92";CONFORTO;TRANSPORTE: UBER;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Sheilarodriguesda;"R$ 28,00";CATEGORIZAR;DESCONHECIDO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Sheilarodriguesda;"R$ 35,80";CATEGORIZAR;DESCONHECIDO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Pp *Gk Semijoia - Parcela 5/6;"R$ 84,77";METAS;LOJA;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Pg *Ton Ton.Com.Br - Parcela 5/12;"R$ 26,30";METAS;LOJA;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Pag*Tvexpress - Parcela 8/12;"R$ 21,58";PRAZERES;LAZER;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Laborat Dom Bosco;"R$ 242,40";PRAZERES;SAUDE: EXAMES;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Juros de dívida encerrada;"R$ 78,48";CUSTOS FIXOS;TAXAS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Juros de atraso;"R$ 36,12";CUSTOS FIXOS;TAXAS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;IOF de atraso;"R$ 7,24";CUSTOS FIXOS;TAXAS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;G.M.A.P Supermercados;"R$ 221,43";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;G.M.A.P Supermercados;"R$ 337,06";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Figueiredo Aranha Clin - Parcela 5/10;"R$ 25,20";CATEGORIZAR;DESCONHECIDO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Distribuidora de Racoe - Parcela 2/6;"R$ 40,09";PRAZERES;ANIMAIS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Copel;"R$ 23,85";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Amazon Marketplace2;"R$ 39,80";CUSTOS FIXOS;SUPLEMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Amazon Marketplace1;"R$ 60,90";CUSTOS FIXOS;SUPLEMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Amazon Aws Servicos Br;"R$ 45,36";CUSTOS FIXOS;FERRAMENTAS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Uber *Uber *Trip;"R$ 28,14";CONFORTO;TRANSPORTE: UBER;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Uber *Uber *Trip;"R$ 57,66";CONFORTO;TRANSPORTE: UBER;CARTÃO DE CREDITO;SETEMBRO;;PARCELA;;;;;;;;;;;;;;;;
#REF!;Sup Princesa Marica;"R$ 48,93";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Sup Princesa Marica;"R$ 57,37";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Sup Princesa Marica;"R$ 172,12";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;South - Parcela 2/3;"R$ 49,99";CONFORTO;ROUPAS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Shopee*Shopee Lldecora;"R$ 19,90";CUSTOS FIXOS;HABITAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Shopee *Jobeatelie - Parcela 1/7;"R$ 64,43";CATEGORIZAR;DESCONHECIDO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Shopee *Jobeatelie - Parcela 1/2;"R$ 40,90";CONFORTO;ROUPAS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Shopee *Ablstorerj;"R$ 20,00";CATEGORIZAR;DESCONHECIDO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Riahcuelo 215 Niteroi;"R$ 39,80";CONFORTO;ROUPAS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Quiosque Bay Market C;"R$ 19,90";PRAZERES;LAZER;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Pp *Oh My Gold - Parcela 3/6;"R$ 113,45";METAS;LOJA;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Pp *Oh My Gold - Parcela 5/6;"R$ 100,98";METAS;LOJA;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Pp *Oh My Gold - Parcela 7/10;"R$ 60,45";METAS;LOJA;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Portal das Flores;"R$ 48,00";CUSTOS FIXOS;HABITAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Pg *Nuvem Sapatosebols - Parcela 2/2;"R$ 89,95";METAS;LOJA;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Pg *Nuvem Lizbijoux - Parcela 2/3;"R$ 79,44";METAS;LOJA;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Pg *Nuvem Atacadodebri - Parcela 3/3;"R$ 43,50";METAS;LOJA;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Pg *Beleza Na Web Ma - Parcela 2/7;"R$ 52,30";METAS;LOJA;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Pb*Bold Snacks - Parcela 3/11;"R$ 20,70";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Pag*Studiomatheus - Parcela 2/4;"R$ 187,50";CONFORTO;ESTÉTICA;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;"Padaria, Confeitaria e";"R$ 8,00";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;New Light - Parcela 1/2;"R$ 68,98";CATEGORIZAR;DESCONHECIDO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Mp *Padariaravidocaju;"R$ 15,00";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Mp *Mariacereja - Parcela 3/6;"R$ 167,60";CONFORTO;ROUPAS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Mp *Correioscelular;"R$ 20,00";CUSTOS FIXOS;TELEFONE;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Mp *Betterpbcomerciov - Parcela 3/4;"R$ 30,90";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Mini Mercadinho da Ver;"R$ 12,00";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Mercadolivre*3produto - Parcela 5/10;"R$ 58,14";CATEGORIZAR;DESCONHECIDO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Mercado Extra;"R$ 36,51";CUSTOS FIXOS;ALIMENTAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Magalu Com*Listasmagal - Parcela 5/6;"R$ 67,65";PRAZERES;DESPESAS PESSOAIS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Luiz Henrique Barbosa - Parcela 1/3;"R$ 69,98";CATEGORIZAR;DESCONHECIDO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Lojas Renner S.A. - Parcela 2/3;"R$ 80,43";CONFORTO;ROUPAS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Lojas Renner S.A. - Parcela 1/2;"R$ 55,40";CONFORTO;ROUPAS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Lojas Nalin;"R$ 99,90";CUSTOS FIXOS;HABITAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Loja Vidaecor Com - Parcela 4/10;"R$ 21,98";CONFORTO;ROUPAS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Lldecoraes - Parcela 1/2;"R$ 15,97";CATEGORIZAR;DESCONHECIDO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
